,week,n_companies,estimated_containers_mean,estimated_containers_max,estimated_containers_std,cost_per_container_mean,cost_per_container_max,cost_per_container_std,US$ FOB ITEM_mean,US$ FOB ITEM_max,US$ FOB ITEM_std,US$ FLETE ITEM_mean,US$ FLETE ITEM_max,US$ FLETE ITEM_std,US$ SEGURO ITEM_mean,US$ SEGURO ITEM_max,US$ SEGURO ITEM_std,US$ CIF ITEM_mean,US$ CIF ITEM_max,US$ CIF ITEM_std,US$ FOB UNIT_mean,US$ FOB UNIT_max,US$ FOB UNIT_std,America_container_cost,Far East_container_cost,India_container_cost,Middle East_container_cost,Northern Europe_container_cost,Others_container_cost,Southern Europe_container_cost
0,2018-01-02,862,0.6314563924097608,80.986,1.6535536942701623,586.9146591266672,296885.6,3945.874007098716,11257.574132903408,1557608.0,46293.14204271645,240.10338847609702,29688.56,1061.6959569663666,25.501493060423382,3105.0,118.47179049906703,11523.179014439927,1557608.0,46529.86305348482,1059.2696789569607,751500.0,13737.446542361435,405.8480918123179,1051.4890502637736,507.4997426703353,376.19716255891944,210.17256614640576,1025.9885046940494,261.33727700439204
1,2018-01-09,899,0.517832864774878,88.44294117647058,1.6814231298915454,409.2891302402444,45710.0,1505.383521853787,7292.631086839557,2425000.0,40037.15540390004,149.85118583880342,21600.0,652.63548191078,16.147685354567955,2872.11,73.64038621540142,7458.629958032929,2425000.0,40216.46311588569,4222.886588830303,15999999.24,235204.79651709317,159.81701820816005,903.7406359494515,636.455357088429,415.0690928081367,146.23491457609836,834.3832306887824,370.6883975114857
2,2018-01-16,904,0.8107916290190895,1473.0358823529411,16.595441887774737,428.68732215689056,37722.5,1601.7712009236777,9014.096164353383,4255669.0,77928.05248259587,158.82706322978632,30570.83,724.4069474030919,18.217443269442608,3422.11,75.18556520546196,9191.140670852612,4255669.0,78030.75021758767,660.3175985899978,300406.33,7123.354613488002,268.43512318267466,674.1585857282223,1154.2172256919266,618.1713374139301,153.08314663404,1148.4807220408734,270.482753409652
3,2018-01-23,927,0.6441578575754555,129.46588235294118,3.1820296806671786,545.2776589907078,30061.08026249369,1754.9387922012893,10879.363710413138,4372374.0,70068.35702437934,211.98024501498762,52457.93,1180.9597542349036,21.160960510882312,7692.3,120.23329343797104,11112.504915939007,4372374.0,70303.93910912791,1999.7739371823277,4372374.0,52201.07797860705,249.47500534224747,853.1245443282286,313.11877074706933,502.19818575921727,448.0282538912267,1106.0805435026048,278.0733340221996
4,2018-01-30,856,0.963944614685023,377.0570588235294,8.535935993985062,558.5910296713228,41384.98746867167,1800.9903671668746,11479.095326241135,3193784.75,64030.82508477582,233.2983134751773,194827.91,2476.1989406462135,24.457659574468085,6117.76,130.77041733974286,11736.85129929078,3193784.75,64421.01739975167,779.9631617021276,268682.66,6994.053358688933,218.7912314312641,856.0189808725453,1040.5847200221117,934.809171352962,270.70065796268244,2645.5334060931386,316.87528378933035
5,2018-02-06,713,0.8284116152053457,546.8211764705883,8.72254250607682,468.8055844320425,52361.18686593214,1677.9322936438036,8893.338795002466,2552849.93,48337.87418027428,199.1753131678448,18600.0,852.0483783799572,20.313134966299522,4546.8,107.76844097444234,9112.82724313661,2555430.75,48570.65181720232,916.8177083675818,449963.0,10571.75377275219,168.38752056697814,803.66842942035,813.9799401655762,305.97651828643995,195.5489465911593,621.1311426811594,324.96819435673063
6,2018-02-13,747,0.7747177180795618,421.15,5.52307547355345,470.3973200275556,28092.600000000002,1547.295919661567,8998.000876752181,2931499.88,46976.56582696155,214.08874636339593,24200.0,859.0130204084057,20.596155778894474,3573.0,96.80112915198004,9232.685778894473,2934463.5,47228.46727581948,2786.5398637926473,15999999.24,184193.95550686473,178.4346612040739,839.6595785870204,269.1512233893322,432.176965950969,193.5938065940201,285.5917600674705,256.578234665596
7,2018-02-20,929,0.7008295805317903,205.48235294117646,4.423801768962282,561.7349613154506,40807.61742191875,1811.04253117632,9883.197199758599,1259478.88,37929.01603415337,265.1727254073627,90000.0,1924.471642600939,24.94971997585999,2518.63,102.97828636416533,10173.319645141823,1259478.88,38707.25404193646,2734.406736270368,15999999.24,175926.66542640325,316.0049763206081,907.0402955825089,308.1931905578892,141.3702999589312,180.30356580358458,788.5712744461166,272.6398926805692
8,2018-02-27,879,0.5743294843306914,30.08823529411765,1.3294052251508122,497.7618505181266,28163.284356093343,1589.7821197872283,8720.233892459826,1586100.0,38014.33297186376,178.07591470951792,33275.0,909.7491577905789,21.1105673671199,6092.8,110.79521145421295,8919.420374536465,1586100.0,38343.7245340789,2975.198817058096,15999999.24,178349.89367206322,205.62555941730008,860.3016551323561,590.8635926456121,284.9341486166114,268.02472249004626,537.2650353095378,211.29870001597035
9,2018-03-06,861,0.704035934986471,804.9394117647059,10.197741097974493,512.6857333544984,98800.0,1949.6172995874413,9711.984344045368,2956325.75,62299.1129042256,283.3183742911153,347287.5,5728.5841886058215,32.68542407057341,30759.75,530.5798294026674,10027.988142407057,3334373.0,66966.22183024244,5383.249720226843,15999999.24,255321.40809615242,340.61647031463616,756.4785455090004,925.8886588376954,717.3726025710621,246.23306036370113,1303.649193201051,300.4424689079896
